6.1	30.3214	-91.2517	11	4	1	394	-9999	1552
6.1	30.3214	-91.2517	12	6	4	638	-9999	2554
6.1	30.3214	-91.2517	8	3	1	300	-9999	1012
6.1	30.3214	-91.2517	10	4	3	610	-9999	2124
6.1	30.3214	-91.2517	5	3	2	394	-9999	1065
6.1	30.3214	-91.2517	3	2	2	546	-9999	1090
6.1	30.3214	-91.2517	5	4	3	737	-9999	1942
6.1	30.3214	-91.2517	8	3	0	246	-9999	1037
3.4	30.0206	-92.7681	6	3	3	485	-9999	1366
3.4	30.0206	-92.7681	6	1	0	203	-9999	502
3.4	30.0206	-92.7681	6	2	1	279	-9999	822
3.4	30.0206	-92.7681	12	8	5	716	-9999	2724
3.4	30.0206	-92.7681	7	4	4	564	-9999	1549
3.4	30.0206	-92.7681	11	5	3	1024	-9999	2599
3.4	30.0206	-92.7681	6	2	1	277	-9999	844
3.4	30.0206	-92.7681	6	2	2	678	-9999	1633
3.4	30.0206	-92.7681	12	8	2	409	-9999	2126
3.4	30.0206	-92.7681	4	2	2	998	-9999	1533
3.4	30.0206	-92.7681	6	5	4	1115	-9999	2688
3.4	30.0206	-92.7681	9	4	2	358	-9999	1332
1.5	29.6833	-91.1761	6	1	1	879	-9999	1126
1.5	29.6833	-91.1761	3	1	1	292	-9999	459
1.5	29.6833	-91.1761	7	3	2	361	-9999	1035
1.5	29.6833	-91.1761	11	10	6	803	-9999	3664
1.5	29.6833	-91.1761	8	6	1	439	-9999	1367
1.5	29.6833	-91.1761	7	5	1	287	-9999	1141
1.5	29.6833	-91.1761	8	3	1	254	0	1135
1.5	29.6833	-91.1761	6	3	2	511	0	1364
1.5	29.6833	-91.1761	6	3	2	406	0	1157
1.5	29.6833	-91.1761	2	1	1	1100	0	1141
1.5	29.6833	-91.1761	5	5	5	599	0	2552
1.5	29.6833	-91.1761	7	2	2	356	0	1060
